cleanprice	dirtyprice	netwage	timeendowment	virtualinc	leisuregood	netwageinst	cleangood	dirtygood	obs
1.609667	1.061333	14.41162	70	380.5385	70		214.0434	33.9196	244
1.606	1.049	6.296258	70	38.64819	30	7.398963	171.0953	14.98525	245
1.609667	1.061333	15.39996	70	641.7859	70		381.3109	26.38422	246
1.606	1.049	5.935716	70	-48.79955	25	8.379578	125.8741	15.39928	247
1.609667	1.061333	4.292006	70	2.003494	33	7.008339	95.07464	7.320255	248
1.606	1.049	10.80444	70	495.0666	20	10.77637	621.5514	35.34502	249
1.606	1.049	6.531565	70	90.67007	30	8.457677	195.0678	36.84828	250
1.609667	1.061333	9.69274	70	-85.65549	30	10.73056	163.9223	35.98676	251
1.609667	1.061333	5.64667	70	40.99933	30	7.789265	163.8876	2.884761	252
1.606	1.049	9.419732	70	166.4615	70		89.37637	21.85231	253
1.606	1.049	8.13617	70	28.8681	30	7.703619	204.3626	24.889	254
1.606	1.049	15.24263	70	162.7857	70		96.34863	7.673827	255
1.609667	1.061333	5.257803	70	.7564545	25	7.366963	131.3999	24.35383	256
1.609667	1.061333	7.65609	70	147.4905	39	9.833471	216.1634	34.74718	257
1.609667	1.061333	8.921956	70	-39.07452	30	8.045596	188.3108	13.83737	258
1.606	1.049	7.178143	70	-130.8232	10	8.891979	163.9165	34.90504	259
1.606	1.049	15.1649	70	194.4615	70		115.7678	8.13962	260
1.609667	1.061333	5.52438	70	295.1337	25	7.284191	307.541	45.87843	261
1.606	1.049	6.778642	70	-13.556	30	7.848479	131.4142	44.36459	262
1.609667	1.061333	5.022705	70	843.5167	25	7.284191	656.3232	12.32122	263
1.609667	1.061333	5.983301	70	103.3157	20	9.173833	242.8716	10.87167	264
1.609667	1.061333	11.51411	70	274.303	70		160.509	15.01611	265
1.609667	1.061333	10.59417	70	-170.7283	30	9.884476	140.4256	25.4397	266
1.609667	1.061333	8.643042	70	-44.58707	30	8.840705	166.5299	31.16544	267
1.609667	1.061333	6.377567	70	147.5807	64	6.01435	112.3023	4.783533	268
1.609667	1.061333	8.125015	70	17.90607	38	7.388261	162.207	15.8361	269
1.606	1.049	11.33835	70	-191.5525	25	10.77637	186.2127	18.69913	270
1.609667	1.061333	8.048303	70	59.81833	32	7.547889	209.8619	26.23695	271
1.606	1.049	8.882782	70	15.13104	30	10.70612	217.1544	20.67904	272
1.606	1.049	7.352518	70	115.6626	20	10.87019	290.1499	16.49923	273
1.609667	1.061333	5.561334	70	183.3543	30	7.477626	233.9472	27.54156	274
1.609667	1.061333	6.707823	70	254.3024	30	8.210719	310.3366	21.74333	275
1.606	1.049	8.77809	70	-8.174149	46	9.833471	116.0312	15.39928	276
1.606	1.049	11.08247	70	-75.23059	25	10.87019	257.7474	9.092909	277
1.609667	1.061333	8.475428	70	130.8282	30	9.492586	278.2043	20.75606	278
1.609667	1.061333	13.8905	70	135.6954	70		81.88116	3.669027	279
1.606	1.049	12.96909	70	-45.03296	30	8.840705	289.4674	8.43294	280
1.609667	1.061333	5.323622	70	374.066	50	7.265485	279.4176	28.99111	281
1.609667	1.061333	12.21242	70	350.4174	20	10.77637	587.9622	13.77078	282
1.606	1.049	5.316855	70	158.1364	25	10.21492	227.4614	30.59273	283
1.606	1.049	12.15107	70	131.0769	70		75.86933	8.799589	284
1.609667	1.061333	9.187295	70	-206.5437	25	11.31152	115.2413	20.14882	285
1.606	1.049	10.32452	70	521.8437	55	10.42518	410.2045	17.08587	286
1.606	1.049	8.204683	70	14.33191	30	8.625621	204.8448	12.90606	287
1.609667	1.061333	8.292183	70	35.64212	10	7.826355	319.1416	18.33688	288
1.609667	1.061333	12.62224	70	227.7692	70		129.7928	17.75706	289
1.609667	1.061333	7.242435	70	-147.0586	30	7.899551	81.16445	11.29817	290
1.606	1.049	15.75712	70	106.9615	70		63.43998	4.839774	291
1.606	1.049	5.935716	70	-74.87096	30	8.379578	89.72363	17.59918	292
1.606	1.049	7.872535	70	53.12622	50	8.76078	115.7917	23.46557	293
1.609667	1.061333	8.761475	70	161.2997	14	9.884476	372.8077	48.85002	294
1.609667	1.061333	19.68739	70	144.4264	70		85.03403	7.113661	295
1.609667	1.061333	7.988736	70	276.5082	30	6.87686	344.4932	39.138	296
1.609667	1.061333	12.3405	70	-325.6009	35	7.580621	61.88128	6.320544	297
1.606	1.049	9.000776	70	56.30365	40	9.774086	192.1281	16.93921	298
1.606	1.049	9.986133	70	277.3624	30	10.61952	407.9653	20.60571	299
1.606	1.049	7.295748	70	20.37073	28	7.611274	173.4745	45.94094	300
1.609667	1.061333	10.71689	70	-90.61359	20	10.19594	264.7944	17.90201	301
1.606	1.049	7.925799	70	189.8719	30	8.521103	303.4174	18.69913	302
1.609667	1.061333	12.15325	70	136.2103	70		71.4043	20.04379	303
1.609667	1.061333	4.392437	70	181.4775	45	7.388261	180.2452	1.087167	304
1.609667	1.061333	11.44359	70	-122.7422	31	9.173833	159.0392	63.65361	305
1.606	1.049	12.11978	70	389.882	30	11.85104	503.1492	63.5037	306
1.606	1.049	9.83072	70	-62.44678	30	10.19594	183.5025	34.39173	307
1.606	1.049	17.9651	70	88.8579	70		48.6884	10.16618	308
1.609667	1.061333	5.686754	70	79.30339	50	6.801305	107.0217	19.569	309
1.606	1.049	6.805749	70	141.0769	70		69.4032	28.23202	310
1.609667	1.061333	3.97395	70	311.2151	30	6.34855	263.086	43.99401	311
1.606	1.049	7.359622	70	-33.67792	30	7.848479	138.6893	36.19817	312
1.606	1.049	4.862787	70	-1.154648	30	6.830693	111.6857	13.33617	313
1.606	1.049	7.100948	70	61.78903	30	6.34855	199.9593	23.5389	314
1.606	1.049	6.23642	70	51.20499	28	7.279958	172.9452	33.73176	315
1.606	1.049	4.667461	70	-4.656921	50	7.104676	50.67535	6.966341	316
1.606	1.049	9.901315	70	163.5177	63	8.464993	132.2804	19.43243	317
1.609667	1.061333	10.59517	70	40.40974	64	10.73056	57.42947	10.87167	318
1.606	1.049	8.534362	70	140.8248	33	9.93808	266.1534	27.79204	319
1.606	1.049	7.26973	70	27.51846	30	5.984004	181.6745	25.29882	320
1.606	1.049	10.81228	70	-332.0296	30	7.708594	46.02931	25.29882	321
1.606	1.049	11.09091	70	140.3846	70		68.30156	29.25863	322
1.606	1.049	9.692624	70	-137.6883	30	6.867798	142.5695	20.06676	323
1.606	1.049	11.01578	70	114.1421	40	11.20759	257.927	28.96531	324
1.606	1.049	8.356267	70	142.4751	20	7.775119	343.6033	8.06629	325
1.606	1.049	10.98255	70	274	70		128.2211	64.89697	326
1.609667	1.061333	6.682138	70	153.2529	30	9.279224	246.2048	22.8305	327
1.609667	1.061333	18.76804	70	174.6263	70		104.982	5.314323	328
1.609667	1.061333	20.43053	70	87.35754	70		49.13874	7.783182	329
1.606	1.049	13.49167	70	114.0489	70		62.63523	12.82812	330
1.606	1.049	9.486639	70	96.4581	30	8.14485	287.0272	14.25932	331
1.609667	1.061333	12.20047	70	195.7382	45	10.73649	283.0854	42.47198	332
1.609667	1.061333	9.587223	70	-86.48273	25	10.77637	201.1047	20.00387	333
1.606	1.049	11.61652	70	538.4352	30	8.755369	590.921	51.55093	334
1.606	1.049	17.48305	70	214.2058	70		118.8604	22.22695	335
1.606	1.049	9.502419	70	221.8071	30	9.302918	341.6395	50.7443	336
1.606	1.049	16.03818	70	144.5154	70		83.66222	9.679547	337
1.609667	1.061333	9.065239	70	92.10957	70		55.01552	3.347605	338
1.606	1.049	14.31246	70	211.932	70		127.538	6.773927	339
1.609667	1.061333	9.485174	70	276.372	30	7.760965	383.602	36.09393	340
1.609667	1.061333	11.8651	70	-239.9857	20	10.70612	196.1945	35.29668	341
1.606	1.049	4.555283	70	170.6205	20	7.760965	236.1816	18.18582	342
1.609667	1.061333	7.288574	70	591.1677	22	7.591007	567.0668	26.59934	343
1.606	1.049	10.54314	70	141.4615	70		73.97739	21.59566	344
1.606	1.049	3.18972	70	762.0859	30	5.728871	552.8197	1.759918	345
1.606	1.049	8.522583	70	-94.14638	34	7.864063	115.2249	26.32544	346
1.609667	1.061333	5.649422	70	279.6914	5	8.625621	357.5394	67.25938	347
1.606	1.049	14.63075	70	-133.3723	22	10.22758	334.7902	29.77194	348
1.609667	1.061333	5.413557	70	143.4295	30	6.910153	193.2866	46.02208	349
1.606	1.049	3.338358	70	-23.77113	30	7.641752	60.46443	12.06606	350
1.609667	1.061333	4.933709	70	-102.2837	18	6.448095	73.04427	34.5719	351
1.609667	1.061333	8.233039	70	62.83228	30	9.892452	229.8135	20.94608	352
