cleanprice	dirtyprice	netwage	leisuregood	cleangood	dirtygood	obs
1.609667	1.061333	10.92614	25	172.6946	6.233088	455
1.609667	1.061333	6.824659	33	150.3417	25.00483	456
1.606	1.049	11.17165	20	529.5526	39.37816	457
1.609667	1.061333	16.04689	70	84.7046	9.856977	458
1.606	1.049	9.468772	70	112.6305	26.61876	459
1.606	1.049	2.214733	10	188.1819	43.7113	460
1.609667	1.061333	7.79831	10	1260.593	25.07731	461
1.606	1.049	5.805766	42	91.14857	30.13859	462
1.609667	1.061333	5.297435	25	164.1868	8.427392	463
1.609667	1.061333	10.13199	70	102.1712	3.9138	464
1.606	1.049	6.026741	30	109.7932	28.25938	465
1.609667	1.061333	10.25413	70	92.70912	3.406456	466
1.609667	1.061333	5.742088	32	213.6375	25.82976	467
1.606	1.049	5.345281	70	49.67373	9.608682	468
1.606	1.049	10.9918	70	45.11926	20.49571	469
1.609667	1.061333	13.93147	70	55.65011	10.12651	470
1.606	1.049	8.945786	38	115.9235	37.17826	471
1.609667	1.061333	4.731689	6	490.4503	16.74236	472
1.609667	1.061333	8.164869	12	207.6159	29.3535	473
1.606	1.049	6.162457	35	25.90047	4.399795	474
1.609667	1.061333	6.842516	30	107.5235	27.90394	475
1.609667	1.061333	7.121572	46	151.5304	14.67675	476
1.609667	1.061333	8.711454	20	68.59997	27.17916	477
1.609667	1.061333	12.45785	30	170.795	21.16351	478
1.606	1.049	8.2749	16	227.8335	33.18533	479
1.606	1.049	6.516661	50	195.1935	14.81264	480
1.606	1.049	6.56579	50	107.1938	3.214829	481
1.606	1.049	4.549039	34	182.0263	24.31862	482
1.609667	1.061333	7.521223	30	937.4135	30.80305	483
1.606	1.049	7.137384	40	250.7032	48.84465	484
1.606	1.049	10.19737	70	127.2967	41.94471	485
1.609667	1.061333	12.03185	70	38.17072	11.53114	486
1.609667	1.061333	7.257688	30	95.25384	12.32122	487
1.609667	1.061333	7.883424	30	191.6068	9.512709	488
1.606	1.049	16.61748	70	100.8595	13.32188	489
1.606	1.049	4.934412	35	159.2843	28.32348	490
1.609667	1.061333	15.10431	70	74.27341	17.06609	491
1.609667	1.061333	10.30773	70	67.09942	13.6983	492
1.606	1.049	11.36616	70	291.2396	25.59214	493
1.606	1.049	7.496031	25	550.2323	129.574	494
1.609667	1.061333	11.01149	70	115.4133	17.39467	495
1.609667	1.061333	10.5396	70	46.26376	2.899111	496
1.609667	1.061333	7.599211	22	163.5432	9.784499	497
